ticker,close,buy,stop,riskU,t1,t2,size,distPct,rsi,adx,signals,comp,size_base,size_mult,regime_mult,quintile,validated,validate_reason,validated_at
GUNKUL.BK,5.3,5.3,4.34,0.96,6.26,6.74,1500,15.7145,84.6891,59.4295,breakout,2.921,1000,1.5,1.0,1,False,no-fresh-dip,2026-07-17 20:19
BEM.BK,6.65,6.65,5.9,0.75,7.4,7.775,1300,8.9058,75.2687,56.6397,breakout,-0.022,1300,1.0,1.0,3,False,no-fresh-dip,2026-07-17 20:19
BGRIM.BK,20.2,20.2,17.8,2.4,22.6,23.8,600,11.6161,72.7632,52.0425,breakout,0.918,400,1.5,1.0,1,False,no-fresh-dip,2026-07-17 20:19
GPSC.BK,54.5,54.5,46.25,8.25,62.75,66.875,0,14.7636,84.4776,47.3735,breakout,0.804,100,1.5,1.0,1,False,no-fresh-dip,2026-07-17 20:19
TOP.BK,62.0,62.0,48.5,13.5,75.5,82.25,0,20.057,83.7265,31.4263,breakout,0.978,0,1.5,1.0,1,False,no-fresh-dip,2026-07-17 20:19
ADVANC.BK,379.0,379.0,369.0,10.0,389.0,394.0,0,2.2553,60.7671,30.0319,dip,-0.103,0,1.0,1.0,3,True,confirmed,2026-07-17 20:19
IRPC.BK,2.14,2.14,1.84,0.3,2.44,2.59,1100,13.2833,74.4859,27.788,breakout,1.663,3300,1.5,1.0,1,False,no-fresh-dip,2026-07-17 20:19
TIDLOR.BK,19.5,19.5,18.6,0.9,20.4,20.85,0,2.7169,61.2751,22.5475,dip,-0.265,1100,1.0,1.0,3,True,confirmed,2026-07-17 20:19
AURA.BK,14.6,14.6,13.6,1.0,15.6,16.1,0,3.3223,60.6069,21.6779,dip,-0.707,1000,0.5,1.0,5,True,confirmed,2026-07-17 20:19
EGCO.BK,131.5,131.5,120.0,11.5,143.0,148.75,0,6.4769,68.8595,20.9927,breakout,-0.239,0,1.0,1.0,3,False,no-fresh-dip,2026-07-17 20:19
GULF.BK,67.5,67.5,61.25,6.25,73.75,76.875,0,6.7302,67.252,14.2402,breakout,0.678,100,1.5,1.0,1,False,adx 14<20,2026-07-17 20:19
CENTEL.BK,38.25,38.25,34.75,3.5,41.75,43.5,0,4.9618,64.3004,12.5447,breakout,-0.134,200,1.0,1.0,3,False,adx 13<20,2026-07-17 20:19
